uid treatment rep update task count partner
Grid0_10 Grid0 10 0 NOT 0 Host
Grid0_10 Grid0 10 0 NOT 0 Parasite
Grid0_10 Grid0 10 0 NAND 0 Host
Grid0_10 Grid0 10 0 NAND 0 Parasite
Grid0_10 Grid0 10 0 AND 0 Host
Grid0_10 Grid0 10 0 AND 0 Parasite
Grid0_10 Grid0 10 0 ORN 0 Host
Grid0_10 Grid0 10 0 ORN 0 Parasite
Grid0_10 Grid0 10 0 OR 0 Host
Grid0_10 Grid0 10 0 OR 0 Parasite
Grid0_10 Grid0 10 0 ANDN 0 Host
Grid0_10 Grid0 10 0 ANDN 0 Parasite
Grid0_10 Grid0 10 0 NOR 0 Host
Grid0_10 Grid0 10 0 NOR 0 Parasite
Grid0_10 Grid0 10 0 XOR 0 Host
Grid0_10 Grid0 10 0 XOR 0 Parasite
Grid0_10 Grid0 10 0 EQU 0 Host
Grid0_10 Grid0 10 0 EQU 0 Parasite
Grid0_10 Grid0 10 50 NOT 5002 Host
Grid0_10 Grid0 10 50 NOT 5691 Parasite
Grid0_10 Grid0 10 50 NAND 0 Host
Grid0_10 Grid0 10 50 NAND 0 Parasite
Grid0_10 Grid0 10 50 AND 0 Host
Grid0_10 Grid0 10 50 AND 0 Parasite
Grid0_10 Grid0 10 50 ORN 0 Host
Grid0_10 Grid0 10 50 ORN 0 Parasite
Grid0_10 Grid0 10 50 OR 0 Host
Grid0_10 Grid0 10 50 OR 0 Parasite
Grid0_10 Grid0 10 50 ANDN 0 Host
Grid0_10 Grid0 10 50 ANDN 0 Parasite
Grid0_10 Grid0 10 50 NOR 0 Host
Grid0_10 Grid0 10 50 NOR 0 Parasite
Grid0_10 Grid0 10 50 XOR 0 Host
Grid0_10 Grid0 10 50 XOR 0 Parasite
Grid0_10 Grid0 10 50 EQU 0 Host
Grid0_10 Grid0 10 50 EQU 0 Parasite
Grid0_10 Grid0 10 100 NOT 6596 Host
Grid0_10 Grid0 10 100 NOT 9728 Parasite
Grid0_10 Grid0 10 100 NAND 0 Host
Grid0_10 Grid0 10 100 NAND 0 Parasite
Grid0_10 Grid0 10 100 AND 0 Host
Grid0_10 Grid0 10 100 AND 0 Parasite
Grid0_10 Grid0 10 100 ORN 0 Host
Grid0_10 Grid0 10 100 ORN 0 Parasite
Grid0_10 Grid0 10 100 OR 1 Host
Grid0_10 Grid0 10 100 OR 0 Parasite
Grid0_10 Grid0 10 100 ANDN 0 Host
Grid0_10 Grid0 10 100 ANDN 0 Parasite
Grid0_10 Grid0 10 100 NOR 0 Host
Grid0_10 Grid0 10 100 NOR 0 Parasite
Grid0_10 Grid0 10 100 XOR 0 Host
Grid0_10 Grid0 10 100 XOR 0 Parasite
Grid0_10 Grid0 10 100 EQU 0 Host
Grid0_10 Grid0 10 100 EQU 0 Parasite
Grid0_10 Grid0 10 150 NOT 7526 Host
Grid0_10 Grid0 10 150 NOT 9924 Parasite
Grid0_10 Grid0 10 150 NAND 0 Host
Grid0_10 Grid0 10 150 NAND 0 Parasite
Grid0_10 Grid0 10 150 AND 1 Host
Grid0_10 Grid0 10 150 AND 1 Parasite
Grid0_10 Grid0 10 150 ORN 1 Host
Grid0_10 Grid0 10 150 ORN 0 Parasite
Grid0_10 Grid0 10 150 OR 1 Host
Grid0_10 Grid0 10 150 OR 2 Parasite
Grid0_10 Grid0 10 150 ANDN 1 Host
Grid0_10 Grid0 10 150 ANDN 1 Parasite
Grid0_10 Grid0 10 150 NOR 0 Host
Grid0_10 Grid0 10 150 NOR 0 Parasite
Grid0_10 Grid0 10 150 XOR 0 Host
Grid0_10 Grid0 10 150 XOR 0 Parasite
Grid0_10 Grid0 10 150 EQU 0 Host
Grid0_10 Grid0 10 150 EQU 0 Parasite
Grid0_10 Grid0 10 200 NOT 7983 Host
Grid0_10 Grid0 10 200 NOT 8970 Parasite
Grid0_10 Grid0 10 200 NAND 0 Host
Grid0_10 Grid0 10 200 NAND 0 Parasite
Grid0_10 Grid0 10 200 AND 1 Host
Grid0_10 Grid0 10 200 AND 1 Parasite
Grid0_10 Grid0 10 200 ORN 0 Host
Grid0_10 Grid0 10 200 ORN 4 Parasite
Grid0_10 Grid0 10 200 OR 1 Host
Grid0_10 Grid0 10 200 OR 2 Parasite
Grid0_10 Grid0 10 200 ANDN 0 Host
Grid0_10 Grid0 10 200 ANDN 1 Parasite
Grid0_10 Grid0 10 200 NOR 0 Host
Grid0_10 Grid0 10 200 NOR 0 Parasite
Grid0_10 Grid0 10 200 XOR 0 Host
Grid0_10 Grid0 10 200 XOR 0 Parasite
Grid0_10 Grid0 10 200 EQU 0 Host
Grid0_10 Grid0 10 200 EQU 0 Parasite
Grid0_10 Grid0 10 250 NOT 8201 Host
Grid0_10 Grid0 10 250 NOT 6267 Parasite
Grid0_10 Grid0 10 250 NAND 0 Host
Grid0_10 Grid0 10 250 NAND 1 Parasite
Grid0_10 Grid0 10 250 AND 1 Host
Grid0_10 Grid0 10 250 AND 1 Parasite
Grid0_10 Grid0 10 250 ORN 0 Host
Grid0_10 Grid0 10 250 ORN 0 Parasite
Grid0_10 Grid0 10 250 OR 1 Host
Grid0_10 Grid0 10 250 OR 2 Parasite
Grid0_10 Grid0 10 250 ANDN 1 Host
Grid0_10 Grid0 10 250 ANDN 0 Parasite
Grid0_10 Grid0 10 250 NOR 0 Host
Grid0_10 Grid0 10 250 NOR 0 Parasite
Grid0_10 Grid0 10 250 XOR 0 Host
Grid0_10 Grid0 10 250 XOR 0 Parasite
Grid0_10 Grid0 10 250 EQU 0 Host
Grid0_10 Grid0 10 250 EQU 0 Parasite
Grid0_10 Grid0 10 300 NOT 8257 Host
Grid0_10 Grid0 10 300 NOT 6588 Parasite
Grid0_10 Grid0 10 300 NAND 0 Host
Grid0_10 Grid0 10 300 NAND 3 Parasite
Grid0_10 Grid0 10 300 AND 1 Host
Grid0_10 Grid0 10 300 AND 0 Parasite
Grid0_10 Grid0 10 300 ORN 0 Host
Grid0_10 Grid0 10 300 ORN 1 Parasite
Grid0_10 Grid0 10 300 OR 1 Host
Grid0_10 Grid0 10 300 OR 1 Parasite
Grid0_10 Grid0 10 300 ANDN 0 Host
Grid0_10 Grid0 10 300 ANDN 0 Parasite
Grid0_10 Grid0 10 300 NOR 0 Host
Grid0_10 Grid0 10 300 NOR 0 Parasite
Grid0_10 Grid0 10 300 XOR 0 Host
Grid0_10 Grid0 10 300 XOR 0 Parasite
Grid0_10 Grid0 10 300 EQU 0 Host
Grid0_10 Grid0 10 300 EQU 0 Parasite
Grid0_10 Grid0 10 350 NOT 8292 Host
Grid0_10 Grid0 10 350 NOT 6567 Parasite
Grid0_10 Grid0 10 350 NAND 0 Host
Grid0_10 Grid0 10 350 NAND 2 Parasite
Grid0_10 Grid0 10 350 AND 3 Host
Grid0_10 Grid0 10 350 AND 2 Parasite
Grid0_10 Grid0 10 350 ORN 0 Host
Grid0_10 Grid0 10 350 ORN 0 Parasite
Grid0_10 Grid0 10 350 OR 2 Host
Grid0_10 Grid0 10 350 OR 1 Parasite
Grid0_10 Grid0 10 350 ANDN 1 Host
Grid0_10 Grid0 10 350 ANDN 1 Parasite
Grid0_10 Grid0 10 350 NOR 0 Host
Grid0_10 Grid0 10 350 NOR 0 Parasite
Grid0_10 Grid0 10 350 XOR 0 Host
Grid0_10 Grid0 10 350 XOR 0 Parasite
Grid0_10 Grid0 10 350 EQU 0 Host
Grid0_10 Grid0 10 350 EQU 0 Parasite
Grid0_10 Grid0 10 400 NOT 8306 Host
Grid0_10 Grid0 10 400 NOT 6010 Parasite
Grid0_10 Grid0 10 400 NAND 0 Host
Grid0_10 Grid0 10 400 NAND 3 Parasite
Grid0_10 Grid0 10 400 AND 2 Host
Grid0_10 Grid0 10 400 AND 0 Parasite
Grid0_10 Grid0 10 400 ORN 0 Host
Grid0_10 Grid0 10 400 ORN 0 Parasite
Grid0_10 Grid0 10 400 OR 3 Host
Grid0_10 Grid0 10 400 OR 0 Parasite
Grid0_10 Grid0 10 400 ANDN 1 Host
Grid0_10 Grid0 10 400 ANDN 1 Parasite
Grid0_10 Grid0 10 400 NOR 0 Host
Grid0_10 Grid0 10 400 NOR 0 Parasite
Grid0_10 Grid0 10 400 XOR 0 Host
Grid0_10 Grid0 10 400 XOR 0 Parasite
Grid0_10 Grid0 10 400 EQU 0 Host
Grid0_10 Grid0 10 400 EQU 0 Parasite
Grid0_10 Grid0 10 450 NOT 8322 Host
Grid0_10 Grid0 10 450 NOT 5050 Parasite
Grid0_10 Grid0 10 450 NAND 0 Host
Grid0_10 Grid0 10 450 NAND 2 Parasite
Grid0_10 Grid0 10 450 AND 0 Host
Grid0_10 Grid0 10 450 AND 1 Parasite
Grid0_10 Grid0 10 450 ORN 2 Host
Grid0_10 Grid0 10 450 ORN 2 Parasite
Grid0_10 Grid0 10 450 OR 1 Host
Grid0_10 Grid0 10 450 OR 0 Parasite
Grid0_10 Grid0 10 450 ANDN 0 Host
